title,author,genre,type,format,source,status,pages,priority,rating,summary,series_name,book_number,language,is_series,rating_category,pages_category,reading_time_hrs,recommendation_score,predicted_score
Punjab: The Knights Of Falsehood,K P S Gill,Political History,Non-Fiction,Pdf,Google Drive,To-Read,83,Medium,4.15,"Author recounts his experiences leading counter-terror operations during the state's violent insurgency era, detailing the rise of militancy and the political dynamics behind it",,,English,False,Excellent,Short,2.77,4.98,3.98
Never Kiss Your Best Friend,Sumrit Shahi,Romance,Fiction (Novel),Pdf,Google Drive,To-Read,134,Medium,4.0,"A fresh, millennial romance examining the deep bond between two best friends who reconnect and grapple with whether friendship and love can coexist",Never Kiss Your Best Friend Series,1,English,True,Good,Short,4.47,4.8,3.94
The Lady And The Monk: Four Seasons In Kyoto,Pico Iyer,"Travel, Cultural Memoir",Non-Fiction (Memoir),Pdf,Google Drive,To-Read,302,Medium,3.9,"An Indian born travel writer chronicles a year in Kyoto living in a Zen monastery, and through his evolving relationship with Sachiko, explores the intimate contradictions of modern Japan",,,English,False,Good,Long,10.07,4.68,3.74
The Psychology Of Money,Morgan Housel,"Personal Finance, Self-Help",Non-Fiction,Pdf,Google Drive,To-Read,253,Medium,4.45,"A compelling exploration of how our emotions, behavior, and personal history shape financial decisions.",,,English,False,Excellent,Medium,8.43,5.34,4.27
The Mysterious Affair At Styles,Agatha Christie,"Mystery, Detective Fiction",Fiction (Novel),Pdf,Google Drive,To-Read,177,Medium,4.35,"Hercule Poirot's debut case: a locked room poisoning at Styles Court, solved through logical deduction.",Hercule Poirot,1,English,True,Excellent,Medium,5.9,5.22,4.28
The Richest Man In Babylon,George S. Clason,"Finance, Self-Help",Fiction (Parable),Pdf,Google Drive,To-Read,90,Medium,4.4,"Timeless parables from ancient Babylon teaching essential principles of saving, investing, and financial discipline.",,,English,False,Excellent,Short,3.0,5.28,4.22
The Yellow Wallpaper,Charlotte Perkins Gilman,"Psychological, Feminist Literature",Fiction (Short Story),Pdf,Google Drive,To-Read,10,Medium,4.25,"A woman confined to a nursery as Ãrest cureÃ spirals into madness, obsessively interpreting the disturbing yellow wallpaper",,,English,False,Excellent,Short,0.33,5.1,4.08
The Story Of The Integration Of The Indian States,V._P. Menon,"Historical, Political",Non-Fiction,Pdf,Google Drive,To-Read,357,Medium,4.35,"V.P. Menon, under Sardar Patel's leadership, narrates the diplomatic, financial, and constitutional negotiations that united over 550 princely states into the Indian Union post 1947.",,,English,False,Excellent,Long,11.9,5.22,4.18
The Metamorphosis,Franz Kafka,"Existential, Absurdist Fiction",Fiction (Novella),Kindle,Kindle,To-Read,67,Medium,4.25,"Gregor Samsa awakens as a giant insect and confronts isolation, family obligations, and identity crisis in this surreal existential tale.",,,English,False,Excellent,Short,2.23,5.1,4.08
The Wrong Daughter,Dandy Smith,Psychological Thriller,Fiction (Novel),Kindle,Kindle,To-Read,355,Medium,3.75,Sisters face family secrets and manipulation as the unexpected return of one daughter upends relationships and trust.,,,English,False,Good,Long,11.83,4.5,3.6
Fake It 'Til You Make It,Laura Carter,Contemporary Romance,Fiction (Novel),Kindle,Kindle,To-Read,346,Medium,3.75,"Abbey, newly single and jobless, fakes a date with her hot neighbour Ted at her parents' vow-renewalÃwhat starts as a ruse blooms into unexpected romance full of witty banter and emotional growth",,,English,False,Good,Long,11.53,4.5,3.6
The Girl On The Train,Ruskin Bond,"Psychological Thriller, Mystery",Fiction (Novel),Kindle,Kindle,To-Read,134,Medium,4.3,"A blind narrator strikes up an unexpected, sensory rich connection with a young woman on a trainÃonly to later discover she is blind as well, turning the narrative on its head.",,,English,False,Excellent,Short,4.47,5.16,4.13
Dopamine Detox,Thibaut Meurisse,"Psychology, Self-Help",Non-Fiction,Kindle,Kindle,To-Read,64,Medium,4.2,A practical manual on limiting digital and dopamine-driven habits to reclaim focus and boost productivity in everyday life.,,,English,False,Excellent,Short,2.13,5.04,4.03
Everyday Gita: 365 Days Of Wisdom,Sunita Pant Bansal,"Spirituality, Daily Wisdom",Non-Fiction,Kindle,Kindle,To-Read,255,Medium,4.5,"A verse-from-Gita for each day, simplified and contextualised for modern lifeÃguiding personal resilience, clarity, and purpose every sunrise.",,,English,False,Excellent,Medium,8.5,5.4,4.32
The Murder On The Links,Agatha Christie,"Mystery, Detective Fiction",Fiction (Novel),Pdf,Google Drive,To-Read,169,Medium,3.95,"Poirot and Captain Hastings travel to France to save Paul Renauld, but arrive to find him murdered on a golf courseÃand must unravel a baffling case involving a second body, hidden identities, forbidden love, and a clever rival detective.",Hercule Poirot,2,English,True,Good,Medium,5.63,4.74,3.89
400 Days,Chetan Bhagat,"Mystery, Thriller",Fiction (Novel),Physical,Shelf,To-Read,344,Medium,3.8,"A gripping mystery where private investigator Keshav Rajpurohit helps a mother search for her missing daughter, uncovering secrets of love, betrayal, and obsession.",,,English,False,Good,Long,11.47,4.56,3.65
Calling Sehmat,Harinder Sikka,"Thriller, Spy Fiction",Fiction (Novel),Physical,Shelf,Read,204,Medium,4.3,Calling Sehmat is a gripping espionage thriller about a young Kashmiri woman who becomes an undercover spy in Pakistan to fulfill her father's dying wish and protect her country.,,,English,False,Excellent,Medium,6.8,5.16,4.13
Scion Of Ikshvaku,Amish Tripathi,"Mythological Fiction, Historical Fantasy",Fiction (Novel),Physical,Shelf,Read,354,Medium,3.86,A reimagining of Ram's journey from a troubled prince to a legendary leader burdened with destiny and dharma.,Ram Chandra,1,English,True,Good,Long,11.8,4.63,3.8
Sita: Warrior Of Mithila,Amish Tripathi,"Mythological Fiction, Historical Fantasy",Fiction (Novel),Physical,Shelf,Read,361,Medium,4.01,"A fierce retelling of Sita's life, portraying her as a warrior and leader chosen to protect and transform her land.",Ram Chandra,2,English,True,Excellent,Long,12.03,4.81,3.95
Raavan: Enemy Of Aryavarta,Amish Tripathi,"Mythological Fiction, Historical Fantasy",Fiction (Novel),Physical,Shelf,Read,374,Medium,4.19,"The untold story of Raavan, a brilliant but ruthless man shaped by pain, ambition, and a dark destiny.",Ram Chandra,3,English,True,Excellent,Long,12.47,5.03,4.12
War Of Lanka,Amish Tripathi,"Mythological Fiction, Historical Fantasy",Fiction (Novel),Physical,Shelf,Read,475,Medium,3.67,"The climactic battle for justice, love, and dharma unfolds as Ram wages war against Raavan's formidable empire.",Ram Chandra,4,English,True,Good,Long,15.83,4.4,3.62
The Immortals Of Meluha,Amish Tripathi,"Mythological Fiction, Historical Fantasy",Fiction (Novel),Physical,Shelf,Read,401,Medium,4.14,"Shiva, a Tibetan tribal leader, is thrust into the destiny of a god as he battles evil in a mythic land.",Shiva Trilogy,1,English,True,Excellent,Long,13.37,4.97,4.07
The Secret Of The Nagas,Amish Tripathi,"Mythological Fiction, Historical Fantasy",Fiction (Novel),Physical,Shelf,Read,361,Medium,4.11,Shiva uncovers dark secrets and forbidden truths while pursuing a mysterious assassin across ancient India.,Shiva Trilogy,2,English,True,Excellent,Long,12.03,4.93,4.04
The Oath Of The Vayuputras,Amish Tripathi,"Mythological Fiction, Historical Fantasy",Fiction (Novel),Physical,Shelf,Read,565,Medium,3.84,"As the final battle looms, Shiva must make the ultimate choice to destroy evilÃeven at great personal cost.",Shiva Trilogy,3,English,True,Good,Long,18.83,4.61,3.79
The Hidden Hindu Book 1,Akshat Gupta,"Mythological Thriller, Sci-Fi",Fiction (Novel),Physical,Shelf,To-Read,200,Medium,4.145,"A modern mythological mystery where Om Shastri discovers hidden truths entwined with ancient Hindu mythology, launching a saga of immortals, cosmic secrets, and startling revelations.",Hidden Hindu Trilogy,1,English,True,Excellent,Medium,6.67,4.97,4.08
The Hidden Hindu Book 2,Akshat Gupta,"Mythological Thriller, Sci-Fi",Fiction (Novel),Physical,Shelf,To-Read,293,Medium,4.4,"The journey deepens as Om and allies unravel Vedic enigmas and scientific mysticism, facing darker revelations and escalating stakes.",Hidden Hindu Trilogy,2,English,True,Excellent,Medium,9.77,5.28,4.32
The Hidden Hindu Book 3,Akshat Gupta,"Mythological Thriller, Sci-Fi",Fiction (Novel),Physical,Shelf,To-Read,313,Medium,4.1,"The saga culminates in a high-octane climax involving immortals, cosmic avatars, and an epic showdown rooted in ancient myth and modern drama.",Hidden Hindu Trilogy,3,English,True,Excellent,Long,10.43,4.92,4.04
Sapiens,Yuval Noah Harari,"History, Anthropology, Philosophy",Non-Fiction,Physical,Shelf,To-Read,466,Medium,4.4,"A sweeping narrative that traces Homo sapiens from hunter-gatherers to global dominators by exploring the Cognitive, Agricultural, and Scientific Revolutions.",,,English,False,Excellent,Long,15.53,5.28,4.22
The Division Of Heaven And Earth: On Tibet'S Peaceful Revolution,Shokdung (Translated By Matthew Akester),"Political Philosophy, Cultural Criticism, Tibet Studies",Non-Fiction,Physical,Shelf,To-Read,127,Medium,3.8,"A courageous and incisive reflection on Tibet's 2008 Ãpeaceful revolution,Ã critiquing Chinese rule and advocating non violent resistance amid national reawakening.",,,English,False,Good,Short,4.23,4.56,3.65
Sachin Tendulkar: Chase Your Dreams Ã My Autobiography,Sachin Tendulkar (With Contributions By Boria Majumdar),"Sports, Autobiography, Inspirational",Non-Fiction,Physical,Shelf,To-Read,245,Medium,4.45,"Tendulkar's inspiring story redesigned for young readers, tracing his journey from mischievous Mumbai boy to the cricket legend who chased his dreams without shortcuts.",,,English,False,Excellent,Medium,8.17,5.34,4.27
Never Arrived,Nitin Agrahari,"Contemporary Fiction, Literary",Fiction (Short Story Collection),Physical,Shelf,To-Read,221,Medium,3.5,"A heartfelt memoir in short story form, full of small town Indian nostalgia, humor and poignancy, capturing the life lessons of striving, failing, and learning before ever Ãarriving.Ã",,,English,False,Good,Medium,7.37,4.2,3.36
The Widow'S Secret,Brian Thompson,"Historical Fiction, Mystery",Fiction (Novel),Physical,Shelf,To-Read,281,Medium,3.0,"Bella Wallis, a society widow with a secret pen name, investigates a prostitute's murder by exposing London's elite through sensational novels and real sleuthing.",,,English,False,Good,Medium,9.37,3.6,2.88
The Tattooed Fakir,Biman Nath,"Historical Fiction, Freedom Struggle",Fiction (Novel),Physical,Shelf,To-Read,268,Medium,2.5,"In 18th century Bengal, Asif joins a fakir rebellion to rescue his kidnapped wife, only to discover her mixed race son evolves into the tattooed warrior RoshanÃand a journey of identity, vengeance, and resistance unfolds.",,,English,False,Poor,Medium,8.93,3.0,2.4
The Girl In Room 105,Chetan Bhagat,"Thriller, Mystery, Romantic Suspense",Fiction (Novel),Physical,Shelf,To-Read,304,Medium,3.6,A JEE coaching tutor becomes an amateur sleuth when he visits his ex-girlfriend's hostel room on her birthday and discovers her murderedÃa thriller peppered with humor and cultural clichÂs.,,,English,False,Good,Long,10.13,4.32,3.46
Atomic Habits,James Clear,"Self-Help, Personal Development, Psychology",Non-Fiction,Physical,Shelf,To-Read,271,Medium,4.8,"A practical guide explaining how tiny, incremental changes (1% improvements) and system-based habit formation can lead to profound personal transformation over time.",,,English,False,Excellent,Medium,9.03,5.76,4.61
How To Win Friends And Influence People,Dale Carnegie,"Self-Help, Communication, Personal Development",Non-Fiction,Physical,Shelf,To-Read,234,Medium,4.2,"Timeless interpersonal advice on cultivating genuine relationshipsÃoffering principles like avoiding criticism, listening deeply, remembering names, and helping others feel valued.",,,English,False,Excellent,Medium,7.8,5.04,4.03
